EpicenterLon,EpicenterLat,Type,Depth,Day,Month,Year,Hour,Minute,Magnitude
30.628,41.095,1,1.0,9,1,1999,03,37,2.0
30.544,40.72,1,6.2,9,1,1999,04,02,2.0
34.45,40.84,1,14.6,9,1,1999,11,58,2.0
29.951,40.736,4,9.2,9,1,1999,13,57,3.0
30.642,40.766,1,10.0,9,1,1999,16,43,2.0
29.101999999999997,40.635,4,10.0,12,10,1999,02,03,3.0
28.092,39.573,4,6.8,12,10,1999,10,59,3.0
30.835,40.747,1,3.4,13,10,1999,11,10,2.0
30.436999999999998,40.858000000000004,1,5.2,14,10,1999,14,20,2.0
29.026999999999997,40.830999999999996,4,6.6,20,10,1999,23,08,3.0
35.878,37.317,4,43.0,6,10,1999,23,25,3.0
30.961,40.821999999999996,4,9.0,9,10,1999,17,39,3.0
29.046,40.672,4,7.2,10,11,1999,02,47,3.0
30.057,40.785,1,5.0,10,11,1999,07,12,2.0
30.248,40.747,4,7.5,11,11,1999,14,41,3.0
30.208000000000002,40.804,4,2.5,11,11,1999,14,55,3.0
30.281999999999996,40.766999999999996,1,5.0,11,11,1999,15,37,2.0
30.225,40.778,1,1.2,11,11,1999,15,42,2.0
30.296999999999997,40.806,1,5.0,11,11,1999,16,11,2.0
31.406,40.830999999999996,4,10.0,13,11,1999,00,14,3.0
31.39,41.09,1,1.0,13,11,1999,00,18,2.0
31.51,41.3,1,10.7,13,11,1999,00,23,2.0
31.759,40.659,1,7.4,13,11,1999,00,24,2.0
30.955,40.779,1,8.0,13,11,1999,00,39,2.0
31.338,41.028,1,9.0,13,11,1999,00,45,2.0
31.02,40.77,4,5.2,13,11,1999,00,54,3.0
31.474,40.825,1,10.0,13,11,1999,01,00,2.0
31.404,40.885,4,10.0,13,11,1999,01,03,3.0
31.078000000000003,40.766999999999996,4,10.0,13,11,1999,01,11,3.0
30.177,40.723,4,6.2,15,11,1999,22,44,3.0
31.594,40.731,4,5.0,16,11,1999,17,51,3.0
31.493000000000002,40.832,4,7.0,17,11,1999,08,15,3.0
30.489,40.739000000000004,4,5.0,18,11,1999,04,22,3.0
30.99,40.854,4,11.8,19,11,1999,10,28,3.0
31.017,40.830999999999996,4,5.3,19,11,1999,19,59,3.0
30.910999999999998,40.82,4,9.5,21,11,1999,04,31,3.0
30.934,40.775,4,0.6,21,11,1999,04,33,3.0
31.174,40.746,4,10.0,21,11,1999,07,53,3.0
26.127,40.444,4,35.0,21,11,1999,17,52,3.0
30.835,40.878,4,5.2,28,11,1999,04,57,3.0
30.684,40.757,1,11.0,28,11,1999,16,22,2.0
31.498,40.796,4,10.0,29,11,1999,10,30,3.0
36.562,39.465,4,22.7,6,11,1999,05,25,3.0
36.748000000000005,39.489000000000004,4,10.0,6,11,1999,05,44,3.0
31.186999999999998,40.806,4,10.4,11,12,1999,16,57,3.0
31.508000000000003,40.735,4,9.7,11,12,1999,17,26,3.0
30.965,40.78,4,12.7,11,12,1999,17,46,3.0
30.88,40.87,4,20.1,11,12,1999,17,47,3.0
31.148000000000003,40.878,4,10.0,11,12,1999,17,52,3.0
31.371,40.615,4,23.8,11,12,1999,17,54,3.0
31.25,40.87,4,9.6,11,12,1999,17,56,3.0
31.647,40.859,4,10.0,11,12,1999,17,57,3.0
31.326999999999998,40.741,4,10.0,11,12,1999,18,14,3.0
31.605,40.541,4,10.0,11,12,1999,18,24,3.0
31.3,40.76,4,10.0,11,12,1999,22,38,3.0
31.078000000000003,40.861999999999995,4,3.3,11,12,1999,22,43,3.0
31.31,40.77,1,2.6,11,12,1999,23,37,2.0
30.053,40.699,1,5.8,12,12,1999,17,07,2.0
30.718000000000004,40.766,4,14.2,13,12,1999,19,13,3.0
33.917,40.93,4,10.0,19,12,1999,23,37,3.0
30.956999999999997,40.817,4,5.5,20,12,1999,03,27,3.0
30.480999999999998,40.595,1,4.4,20,12,1999,11,46,2.0
30.529,40.765,1,5.6,20,12,1999,11,56,2.0
30.685,40.748000000000005,4,10.0,25,12,1999,11,28,3.0
30.355999999999998,40.699,0,6.0,30,12,1999,21,36,2.0
