EpicenterLon,EpicenterLat
34.2145,40.4748
43.4855,38.9065
26.112,37.7336
26.1403,37.7275
38.6808,38.1656
43.1626,38.574
43.1515,38.5828
43.6225,38.9881
41.8485,39.8161
31.3445,36.2558
43.2906,40.0955
36.7538,40.624
41.868,39.8208
31.0401,40.7946
31.0316,40.844
40.7706,39.925
33.068,34.824
38.7913,38.2458
35.0366,37.3771
32.1045,37.8853
32.1165,37.8618
35.9993,36.8336
31.6511,38.6068
33.009,34.824
43.9205,41.0933
26.32,39.4258
43.1348,38.6791
28.328,34.722
36.7453,36.9686
26.1866,38.978
26.1166,35.0756
27.1295,36.4458
27.194,36.4371
30.3698,37.432
29.1565,36.378
35.01,40.4161
27.153,36.5086
27.2291,36.5888
26.559,37.0071
42.0091,38.97
28.403,36.315
27.1753,36.4898
25.3501,35.3871
27.2391,36.5241
42.3111,36.7056
29.309,37.857
29.3118,37.8766
44.178,38.4928
26.9961,37.8226
27.1556,36.363
35.8683,36.2985
27.2085,36.5031
27.2381,36.5216
31.2448,35.9476
29.6373,37.7935
44.3831,37.4265
27.6348,36.0558
30.1641,39.0133
38.758,38.3176
25.9633,38.9181
36.0315,39.1371
27.144,36.3973
27.1393,36.4238
44.3428,38.5721
44.3035,38.6108
27.0988,36.3615
27.0915,36.372
43.921,41.1501
43.8193,41.1606
27.0618,36.3135
27.5631,36.0451
27.0991,36.3248
27.1585,36.4071
27.1011,36.3898
27.1973,37.8948
28.4645,36.2218
43.6438,41.1226
27.1661,36.3833
27.1853,36.4033
27.1586,36.4306
27.0163,36.2876
27.053,36.279
35.6471,38.9663
27.088,36.3118
27.0945,36.3048
27.1318,36.3363
27.0936,36.323
27.115,36.3398
27.0148,36.267
27.0735,36.3466
27.0751,36.3648
27.1301,36.3371
27.1506,36.4276
27.1353,36.4111
27.1075,36.3983
27.1803,36.4776
27.1611,36.2973
27.0805,36.3843
27.0848,36.3475
41.657,39.0916
40.292,39.252
27.1705,36.4246
26.112,38.917
26.0453,38.9366
26.0276,38.9575
26.0595,38.9206
27.0801,36.3935
26.079,38.9476
26.0683,38.9453
26.0443,38.9346
26.1141,38.8413
27.1485,36.462
27.9845,37.772
35.5936,38.915
35.5673,38.9226
36.1925,37.2793
27.2336,36.4461
39.851,38.24
28.5151,39.6415
28.271,37.0968
27.4211,40.0168
34.4688,40.1033
25.9983,38.9408
45.0835,36.5228
29.6541,39.0295
39.569,38.5081
40.2348,39.192
27.047,36.3036
43.1918,38.6888
44.647,38.853
27.066,36.2416
26.9996,36.2918
27.1608,36.4013
27.0975,36.3838
27.1706,36.4028
27.6246,39.594
27.1086,36.4023
37.975,37.4388
29.2328,40.9413
28.1391,35.8123
30.8051,37.2093
33.323,39.1565
27.1643,36.4461
36.1321,37.5625
32.8156,35.322
40.0676,40.0185
25.7568,39.6895
39.3161,38.4893
36.2016,37.4095
