Enlem,Boylam,Cluster
34.2145,40.4748,0
43.4855,38.9065,0
26.112,37.7336,0
26.1403,37.7275,0
38.6808,38.1656,2
43.1626,38.574,2
43.1515,38.5828,0
43.6225,38.9881,0
41.8485,39.8161,0
31.3445,36.2558,0
43.2906,40.0955,2
36.7538,40.624,0
41.868,39.8208,0
31.0401,40.7946,0
31.0316,40.844,0
40.7706,39.925,1
33.068,34.824,0
38.7913,38.2458,0
35.0366,37.3771,0
32.1045,37.8853,0
32.1165,37.8618,0
35.9993,36.8336,2
31.6511,38.6068,0
33.009,34.824,0
43.9205,41.0933,0
26.32,39.4258,2
43.1348,38.6791,0
28.328,34.722,0
36.7453,36.9686,1
26.1866,38.978,1
26.1166,35.0756,0
27.1295,36.4458,0
27.194,36.4371,0
30.3698,37.432,0
29.1565,36.378,2
35.01,40.4161,0
27.153,36.5086,0
27.2291,36.5888,0
26.559,37.0071,2
42.0091,38.97,2
28.403,36.315,0
27.1753,36.4898,0
25.3501,35.3871,0
27.2391,36.5241,0
42.3111,36.7056,0
29.309,37.857,0
29.3118,37.8766,0
44.178,38.4928,1
26.9961,37.8226,1
27.1556,36.363,0
35.8683,36.2985,0
27.2085,36.5031,0
27.2381,36.5216,0
31.2448,35.9476,0
29.6373,37.7935,0
44.3831,37.4265,0
27.6348,36.0558,0
30.1641,39.0133,0
38.758,38.3176,0
25.9633,38.9181,0
36.0315,39.1371,2
27.144,36.3973,0
27.1393,36.4238,0
44.3428,38.5721,0
44.3035,38.6108,2
27.0988,36.3615,0
27.0915,36.372,0
43.921,41.1501,0
43.8193,41.1606,0
27.0618,36.3135,0
27.5631,36.0451,1
27.0991,36.3248,0
27.1585,36.4071,0
27.1011,36.3898,1
27.1973,37.8948,0
28.4645,36.2218,1
43.6438,41.1226,0
27.1661,36.3833,0
27.1853,36.4033,0
27.1586,36.4306,0
27.0163,36.2876,0
27.053,36.279,0
35.6471,38.9663,0
27.088,36.3118,0
27.0945,36.3048,0
27.1318,36.3363,0
27.0936,36.323,0
27.115,36.3398,0
27.0148,36.267,0
27.0735,36.3466,0
27.0751,36.3648,0
27.1301,36.3371,0
27.1506,36.4276,0
27.1353,36.4111,0
27.1075,36.3983,1
27.1803,36.4776,0
27.1611,36.2973,0
27.0805,36.3843,0
27.0848,36.3475,0
41.657,39.0916,2
40.292,39.252,0
27.1705,36.4246,2
26.112,38.917,0
26.0453,38.9366,0
26.0276,38.9575,2
26.0595,38.9206,0
27.0801,36.3935,0
26.079,38.9476,0
26.0683,38.9453,0
26.0443,38.9346,0
26.1141,38.8413,2
27.1485,36.462,2
27.9845,37.772,0
35.5936,38.915,0
35.5673,38.9226,0
36.1925,37.2793,2
27.2336,36.4461,2
39.851,38.24,0
28.5151,39.6415,2
28.271,37.0968,1
27.4211,40.0168,1
34.4688,40.1033,0
25.9983,38.9408,0
45.0835,36.5228,0
29.6541,39.0295,0
39.569,38.5081,0
40.2348,39.192,0
27.047,36.3036,0
43.1918,38.6888,2
44.647,38.853,0
27.066,36.2416,2
26.9996,36.2918,0
27.1608,36.4013,0
27.0975,36.3838,0
27.1706,36.4028,0
27.6246,39.594,2
27.1086,36.4023,2
37.975,37.4388,0
29.2328,40.9413,0
28.1391,35.8123,0
30.8051,37.2093,2
33.323,39.1565,2
27.1643,36.4461,0
36.1321,37.5625,0
32.8156,35.322,0
40.0676,40.0185,0
25.7568,39.6895,2
39.3161,38.4893,0
36.2016,37.4095,2
25.7513,39.6978,0
27.2015,36.4761,0
38.6811,38.262,0
39.2098,38.4315,0
29.2456,37.8406,0
27.009,38.0826,0
34.4828,40.2385,0
36.6981,36.8753,1
40.8745,38.5655,0
36.3948,40.5601,0
28.101,36.83,0
31.1645,37.1471,1
26.9948,37.8396,1
38.7015,38.2261,0
43.2561,38.7615,1
27.6886,36.654,0
27.3946,40.346,0
31.5913,36.5526,0
27.1888,36.4381,2
27.2363,36.4468,0
27.2363,36.477,0
42.5141,38.2,0
42.5268,38.2473,0
27.1488,36.4115,0
27.1295,36.3726,0
27.048,36.3848,0
27.1653,36.4278,0
27.1633,36.4646,0
38.6951,38.2726,2
27.2236,36.432,2
27.1778,36.4246,0
27.1991,36.4671,0
28.7005,40.7365,2
27.2268,36.5213,0
27.1816,36.4636,0
27.1628,36.4786,0
27.2331,36.479,2
27.1945,36.4545,0
27.167,36.443,0
27.2483,36.5266,2
33.408,36.7971,0
39.264,38.507,2
27.1396,36.4673,2
26.7356,37.8296,0
27.1185,36.5053,2
27.1968,36.4865,0
27.2331,36.5425,0
27.0945,36.4433,0
27.1253,36.4583,0
30.0331,37.5808,1
27.178,36.4938,0
27.1148,36.4658,0
42.0508,38.6975,0
27.121,36.41,0
27.1515,36.4266,0
26.0281,38.925,0
33.7346,34.5963,1
27.1521,37.7996,1
27.1481,37.898,0
27.5806,35.9151,0
30.3,38.1261,2
39.0896,39.8156,0
30.1101,37.5653,0
28.7508,37.1326,0
44.6075,38.5515,0
43.6686,39.7195,0
45.1543,38.5063,0
40.473,39.04,0
35.0428,40.104,0
43.5501,38.857,0
38.745,38.3053,0
26.842,37.8431,2
41.0966,39.319,0
26.0311,38.923,0
37.3568,39.6523,0
27.9943,35.8495,0
26.0236,38.9421,0
31.6678,38.5881,0
25.531,38.4945,2
26.0291,38.953,0
25.1393,40.1433,0
30.0456,38.1878,0
44.3325,40.0573,0
33.564,41.3508,0
26.6453,37.9265,0
26.7783,38.849,0
26.7833,38.856,0
31.6495,38.59,0
31.6563,38.5855,0
31.6318,38.5965,0
26.4175,37.7655,0
36.074,39.1128,0
26.0606,38.933,0
44.4886,40.2113,0
26.0498,38.9453,1
26.1028,38.9136,1
26.0675,38.9601,0
35.8871,37.4963,1
36.0536,39.119,0
26.072,38.9841,0
26.07,38.96,0
26.1156,39.0033,0
26.0796,38.9583,1
25.9946,38.944,0
26.018,38.916,0
26.0788,38.9483,0
26.0155,38.935,0
26.0918,38.955,0
26.1185,38.985,0
26.0576,38.964,0
26.7138,37.8033,2
41.1041,36.156,0
41.1471,36.1478,0
42.6338,40.1841,2
26.751,35.818,0
44.4443,38.4033,2
41.419,38.5613,0
36.0731,39.1235,0
33.711,35.1145,0
28.2328,36.8253,0
26.7133,37.8221,0
26.7415,37.8616,0
26.7426,37.8558,2
26.7266,37.854,0
28.1055,36.0836,0
29.0896,37.038,0
39.1935,38.4941,0
25.7731,38.2411,2
27.0843,37.906,2
29.202,37.7028,0
33.323,40.0418,0
25.128,40.1573,0
41.1276,39.3183,0
44.581,38.567,1
39.0593,38.3411,0
39.2478,38.4733,1
26.6661,37.9353,0
27.8288,36.0181,1
26.7648,37.8321,0
28.7081,36.4833,2
26.4258,37.7836,0
39.1515,38.4166,0
28.7775,36.447,0
39.1813,38.5218,0
39.2091,38.487,0
42.9885,38.015,0
28.7085,36.5211,0
27.6055,37.8903,2
36.4963,35.876,0
27.095,37.9238,2
40.5451,39.4688,1
43.8736,37.9498,0
43.4876,38.9011,0
44.84,38.4998,0
28.1961,39.9901,0
26.9471,37.8406,1
31.8998,36.0878,0
26.814,37.802,0
26.8595,37.847,2
27.796,39.2621,2
41.712,37.9998,0
26.9485,37.8253,0
43.7606,37.73,2
40.1166,38.8386,0
41.4345,40.0038,2
38.6063,38.2083,0
40.9638,38.5741,0
31.0031,38.0113,0
26.6943,37.943,0
27.005,37.8488,0
38.6603,38.167,0
26.5316,37.8663,1
40.2066,39.4408,0
26.173,34.457,0
39.1433,38.3661,1
26.9543,37.844,0
27.1491,39.0033,1
26.973,37.872,0
26.6538,37.8955,1
40.7516,39.3793,0
26.0626,37.8083,0
26.8731,37.8768,0
26.913,37.8688,0
28.321,40.851,1
26.8633,37.5868,0
27.0506,37.7753,0
26.9846,37.713,0
26.9811,37.7353,2
27.0095,37.7151,0
26.4931,37.909,0
26.4403,37.8266,1
39.6388,38.6903,1
26.5003,37.9133,0
27.0573,37.7231,1
27.0416,37.7381,2
26.7275,37.8476,2
26.924,37.8818,0
27.3355,38.1496,0
27.7043,38.381,2
26.4701,37.8011,2
26.6921,37.8255,0
26.8416,37.8476,2
26.8586,37.8461,0
26.8618,37.8415,2
26.8181,37.8086,0
26.8628,37.8118,0
27.0101,37.8516,0
27.0018,37.8333,0
26.893,37.8415,0
26.4463,37.8798,0
26.4736,37.87,0
26.663,37.914,0
26.9473,37.8991,2
26.489,37.877,0
26.946,37.8863,0
26.743,37.8436,2
26.474,37.821,2
26.815,37.837,2
26.93,37.84,0
26.8303,37.8701,0
26.8176,37.8413,0
26.928,37.809,2
26.5091,37.8988,0
26.5336,37.9008,0
26.8466,37.8178,0
26.5616,37.9066,0
26.4825,37.8973,0
26.9225,37.8635,2
26.926,37.8713,0
27.0018,37.8398,0
26.4998,37.8885,0
26.5316,37.9156,2
26.4141,37.8768,2
26.404,37.8871,0
26.978,37.8205,0
26.5263,37.9091,0
26.858,37.8576,0
26.8733,37.8645,0
26.5116,37.841,2
26.9718,37.8663,0
26.926,37.9101,0
26.8193,37.8341,0
26.9218,37.844,0
26.5445,37.7995,0
26.8363,37.8325,2
26.4975,37.897,0
26.5013,37.8783,0
27.1293,37.925,2
26.547,37.9246,0
26.5148,37.8926,2
26.4503,37.8753,2
26.949,37.8683,0
26.9025,37.8626,0
26.9623,37.8471,0
26.9898,37.8593,2
26.8976,37.8798,0
26.9688,37.8663,0
27.212,37.6691,0
26.8591,37.9073,0
26.8586,37.883,0
26.9851,37.8765,2
26.8648,37.8745,0
26.869,37.8331,0
26.8108,37.8596,0
26.7755,37.8053,0
26.8296,37.7905,2
26.9851,37.8738,2
26.8115,37.8473,2
26.8465,37.8598,2
26.3585,37.6998,2
26.9145,37.9125,0
26.8216,37.852,0
26.84,37.8731,2
26.6926,37.7846,2
26.8063,37.817,2
26.8275,37.792,0
27.0716,37.988,0
26.9351,37.8925,0
26.543,37.768,0
26.4898,37.7568,0
26.9185,37.8118,0
26.991,37.8423,0
26.8986,37.8751,0
26.5738,37.88,0
26.9485,37.9266,0
26.7995,37.8406,0
26.703,37.879,0
36.4861,35.9218,2
40.444,38.966,0
39.3056,38.4378,2
43.1961,38.7561,0
42.5793,39.8805,1
27.3496,36.9198,0
42.623,39.765,1
42.5635,39.7641,1
26.1715,35.7495,0
39.247,38.4501,0
38.8348,38.2688,1
34.0386,37.9523,0
34.9366,41.1021,0
26.7785,36.6351,0
38.0811,38.7038,0
34.0,38.035,0
34.0281,38.0525,0
39.243,38.4896,2
31.8086,38.4745,0
27.5115,36.9216,2
34.0418,37.96,0
38.1103,38.6995,2
29.899,35.7081,2
27.9375,37.0505,2
28.1351,40.808,2
28.092,40.8268,0
34.0175,38.1298,0
34.054,37.9823,2
30.6641,37.2148,0
41.9838,38.7051,0
34.0233,38.0156,0
34.037,38.011,0
38.1166,38.6916,0
38.094,38.7055,0
38.07,38.71,0
