Enlem,Boylam,Derinlik,Büyüklük,Gün,Ay,Yıl,Saat,Dakika,Saniye
39.8061,41.8183,7,1.6,24,12,2021,20,36,32
39.1028,29.4008,7.3,1,24,12,2021,20,32,42
37.93,28.816,7,0.9,24,12,2021,20,15,26
37.6951,29.3766,7.02,1,24,12,2021,19,40,49
37.7938,26.8085,7,1,24,12,2021,18,53,30
39.7885,41.8421,6.98,2.1,24,12,2021,18,0,32
36.696,27.3441,5.54,1.2,24,12,2021,17,55,12
37.2361,28.49,7,1.2,24,12,2021,17,24,38
38.4915,29.1368,7,1.1,24,12,2021,17,23,4
37.6183,26.0556,7.13,2.1,24,12,2021,15,40,15
39.8441,41.7038,7,1.7,24,12,2021,15,27,6
39.8435,33.3076,7,0.9,24,12,2021,15,24,14
35.0788,27.4801,9.63,2.4,24,12,2021,15,11,3
36.7608,34.5753,14.12,2.2,24,12,2021,14,1,27
39.722,27.574,1.4,1.2,24,12,2021,13,47,58
37.0618,28.4391,7,1,24,12,2021,13,44,14
38.793,43.2825,7.25,1.5,24,12,2021,13,34,52
37.2783,31.8845,7.17,1.8,24,12,2021,12,27,11
39.3,40.4628,6.98,2.2,24,12,2021,12,20,19
38.2393,26.6481,7,0.8,24,12,2021,12,15,14
38.8748,43.5393,16.52,1.6,24,12,2021,11,31,53
38.2638,42.4705,6.97,1.6,24,12,2021,11,18,17
36.8311,29.0268,12.4,1.4,24,12,2021,10,54,45
37.6993,29.3616,6.98,1.5,24,12,2021,10,30,50
39.086,27.5728,6.98,1.4,24,12,2021,10,15,13
40.6061,35.3561,6.99,1.6,24,12,2021,10,10,6
36.4718,27.1025,7,1.7,24,12,2021,9,42,57
36.7973,29.0696,6.6,1.6,24,12,2021,9,11,18
40.5201,34.426,7,1.1,24,12,2021,9,3,0
40.4886,34.2583,7,1.1,24,12,2021,8,27,54
40.4593,34.209,7,1.6,24,12,2021,8,7,13
39.012,43.5606,4.12,1.7,24,12,2021,8,5,25
37.1223,44.2743,7,2.2,24,12,2021,7,54,19
40.5343,26.697,7.83,1.8,24,12,2021,7,20,31
36.1996,28.0495,6.97,1.5,24,12,2021,6,52,41
37.8791,26.9251,7,1.3,24,12,2021,6,5,20
38.7628,43.5055,7,1.9,24,12,2021,5,59,38
38.7548,43.4268,7,1.1,24,12,2021,5,31,11
38.7528,43.5065,7.03,3.9,24,12,2021,5,26,40
40.1565,42.1175,7,1.3,24,12,2021,5,7,53
38.7646,43.4251,7,1.5,24,12,2021,3,37,3
37.94,27.5595,7,1.8,24,12,2021,2,39,57
39.2951,33.3036,7,1.1,24,12,2021,2,31,16
38.7675,43.3996,7,1.9,24,12,2021,2,30,27
38.9438,43.5153,8.05,1.4,24,12,2021,2,25,6
38.7601,43.4833,7,2,24,12,2021,2,22,46
35.332,38.936,4,3.2,24,12,2021,2,21,21
37.8018,29.7653,7,1.4,24,12,2021,2,16,4
38.7601,43.4293,7,2.7,24,12,2021,2,14,46
38.7643,43.4183,6.97,1.7,24,12,2021,2,10,43
38.757,43.408,7,1.9,24,12,2021,2,4,26
40.746,31.4755,7,1,24,12,2021,2,2,56
38.7458,43.5118,6.86,2.8,24,12,2021,2,0,23
38.7566,43.4131,7,1.8,24,12,2021,1,47,19
38.7486,43.478,6.95,3.8,24,12,2021,1,44,58
41.6666,43.1828,7.03,1.6,24,12,2021,1,7,42
37.6743,27.1586,10.57,1.8,24,12,2021,1,1,58
39.2878,33.3206,7,1.2,23,12,2021,23,55,38
36.1138,35.5238,22.07,2.7,23,12,2021,23,51,53
39.2948,33.314,7,1.2,23,12,2021,23,47,9
40.2741,33.9311,7.01,2,23,12,2021,22,56,36
37.1435,28.2856,7.02,1.5,23,12,2021,22,43,52
37.8956,27.0975,7,1.6,23,12,2021,22,8,37
37.6333,27.1448,8.38,1.8,23,12,2021,20,26,45
37.8273,26.9846,7,2.4,23,12,2021,19,39,29
37.8861,27.5693,7,1.9,23,12,2021,17,54,45
37.3693,38.7696,7.01,1.2,23,12,2021,16,56,22
37.4028,36.2506,7.15,2,23,12,2021,16,43,8
39.7768,43.4986,7,1.6,23,12,2021,16,33,39
37.6428,26.0236,7.24,2.1,23,12,2021,16,4,35
37.7436,26.0685,5.6,2,23,12,2021,15,54,13
37.652,26.0095,6.96,2.6,23,12,2021,15,51,5
38.608,29.1876,7,1.1,23,12,2021,15,34,22
41.4191,28.193,7,1.1,23,12,2021,15,15,29
40.2146,29.0623,10.18,2.7,23,12,2021,14,15,26
39.8441,32.0635,6.34,2,23,12,2021,14,0,42
39.6271,29.5853,7,1,23,12,2021,13,52,41
39.061,41.7546,7,1.4,23,12,2021,13,33,54
40.113,43.5596,7,1.4,23,12,2021,13,31,16
39.081,27.3823,6.45,1.4,23,12,2021,13,19,15
39.1221,34.2483,7,1,23,12,2021,13,14,30
38.2671,38.8388,7.29,1.3,23,12,2021,13,6,53
37.2858,31.8385,6.99,2,23,12,2021,12,35,26
37.199,37.4405,7.02,2.3,23,12,2021,12,32,58
37.2673,28.6883,7,1.5,23,12,2021,11,49,38
39.3876,44.1278,7,1.4,23,12,2021,11,38,56
39.3355,40.773,7.01,2.2,23,12,2021,11,2,40
36.8501,38.9285,5.27,2.2,23,12,2021,10,37,35
39.6805,30.0696,7,0.9,23,12,2021,10,19,29
36.5575,30.6315,24.09,2.3,23,12,2021,9,40,57
37.8621,26.982,7.82,2.3,23,12,2021,9,22,4
37.8886,27.0625,7.04,1.8,23,12,2021,7,34,36
38.9513,43.5111,4.44,2.1,23,12,2021,7,30,11
38.0505,30.3836,6.94,1.9,23,12,2021,7,18,34
36.5306,27.8465,7.07,1.9,23,12,2021,6,47,26
40.1405,31.7888,6.86,1.5,23,12,2021,5,58,45
38.1258,42.6001,7,1.7,23,12,2021,5,48,53
38.2443,30.0048,6.16,1.8,23,12,2021,5,32,24
38.25,30.0233,4.79,2.3,23,12,2021,5,24,12
40.1595,31.7738,7.34,1.5,23,12,2021,4,41,5
