Enlem,Boylam,Cluster
40.1028,43.2645,0
37.8623,26.9371,1
36.505,27.159,1
35.7958,28.1966,2
37.8488,26.9918,1
35.0863,26.6635,1
39.6011,38.4005,0
36.6048,27.2391,1
36.6156,27.3541,1
38.158,27.4166,1
37.5408,32.6605,2
36.5258,27.1836,1
39.9171,28.803,1
37.7083,26.1271,1
39.8463,41.8278,0
36.7828,27.5813,1
40.7981,31.035,0
39.8248,41.7931,0
38.6391,43.16,0
36.668,27.4831,1
39.4476,28.2396,1
37.2275,28.4201,1
41.158,43.8025,2
38.8815,27.1901,2
37.5761,29.4168,1
40.3371,27.0033,1
36.6033,27.3421,1
36.9015,27.8388,0
36.9138,27.3075,2
39.343,38.2706,0
36.3966,27.1033,1
38.5885,31.642,1
39.288,33.3441,2
40.4868,34.2503,0
38.9713,25.5131,0
39.471,35.2051,0
38.7646,43.4251,0
37.9616,26.93,1
36.378,29.1565,1
37.8948,26.929,1
38.9196,43.4713,2
37.8895,32.1203,0
36.4571,28.8808,1
36.4988,27.2513,1
38.0575,29.0513,1
37.8875,26.8493,2
39.4046,27.901,2
41.085,43.7503,0
38.9123,43.5058,2
38.468,39.0491,1
37.8601,26.8998,1
41.3896,34.4018,0
36.5446,28.9296,1
38.9176,43.4775,2
38.5766,31.4366,2
41.1981,43.9635,0
37.6451,26.7555,1
36.67,27.5181,1
36.6088,33.3738,2
39.4468,33.0791,1
39.5066,33.1068,0
37.8523,26.926,1
39.0621,27.5221,2
38.9241,42.0318,0
38.495,39.2636,0
36.9175,28.1136,1
37.8403,32.1071,2
37.8403,26.8918,2
39.7101,27.0681,1
37.8556,30.5936,1
39.9486,28.7418,0
38.4028,30.1573,1
39.6516,30.1486,0
37.8526,32.0706,0
39.9388,28.7635,1
39.4403,28.2175,2
40.6225,36.757,0
37.9366,27.1173,1
39.65,33.0915,0
36.3388,35.532,1
38.6735,31.6265,2
38.3065,38.8223,0
37.91,26.3813,2
36.408,27.6786,1
38.586,31.624,1
37.6,29.4881,2
38.9581,26.0821,1
36.4411,27.1853,1
36.9613,27.9688,2
38.098,27.0916,2
39.3156,27.702,2
40.1673,31.6978,2
39.7046,41.0618,0
36.5643,27.2673,1
38.3473,26.7231,1
36.432,27.0728,1
39.4841,33.114,0
38.061,26.08,1
38.46,29.1575,2
39.3085,26.1313,2
37.259,31.215,1
39.3576,27.6253,1
37.3501,28.3125,2
39.0705,28.9848,2
36.5425,27.3313,1
40.409,35.0045,1
36.5056,27.173,1
37.815,26.9325,1
37.3455,30.2213,0
37.2508,36.1735,1
36.4876,36.8818,0
36.4893,27.1135,1
40.7475,42.1106,1
39.4085,40.5101,0
37.665,26.7778,1
39.4048,37.0153,2
35.834,29.3206,2
36.4493,27.0986,1
38.978,42.045,0
38.2466,38.833,0
37.8783,26.9561,1
39.5231,28.8546,2
36.5566,27.226,1
36.6443,36.3558,0
37.8618,32.1165,0
37.053,28.3775,2
38.0728,39.8786,2
35.2121,26.8643,1
38.975,42.0065,0
38.0371,27.099,1
37.0928,28.4438,2
40.183,34.1245,1
38.8053,38.1568,0
41.065,34.879,0
38.2768,38.778,0
37.918,29.242,2
38.0163,26.2415,1
40.5513,33.6323,0
38.267,38.7706,0
36.4515,27.1813,2
39.3953,40.8093,0
39.8291,41.855,0
35.0995,27.2573,1
39.9598,28.7601,1
37.8541,32.0711,0
40.9395,43.4581,0
36.8856,27.5216,1
37.9715,28.8198,2
38.3518,38.7501,0
35.135,25.532,1
35.349,26.507,1
36.9551,27.3361,1
37.842,32.11,0
39.7768,41.8686,0
38.0551,38.3558,2
39.8485,33.0743,2
37.0508,28.7373,2
37.2953,30.3336,1
37.5313,32.6126,2
38.7341,43.4541,2
39.982,27.3161,1
37.8136,26.9913,1
34.824,33.009,1
36.515,27.1923,1
39.0698,27.8248,1
37.3436,36.4126,0
36.3478,31.5843,1
36.4588,28.6598,0
