Enlem,Boylam,Cluster
39.1028,29.4008,0
37.93,28.816,0
37.6951,29.3766,0
37.7938,26.8085,2
39.7885,41.8421,0
36.696,27.3441,1
37.2361,28.49,0
38.4915,29.1368,0
37.6183,26.0556,2
39.8441,41.7038,0
39.8435,33.3076,0
35.0788,27.4801,2
36.7608,34.5753,2
39.722,27.574,0
37.0618,28.4391,0
38.793,43.2825,0
37.2783,31.8845,0
39.3,40.4628,0
38.2393,26.6481,0
38.8748,43.5393,0
38.2638,42.4705,0
36.8311,29.0268,0
37.6993,29.3616,0
39.086,27.5728,0
40.6061,35.3561,0
36.4718,27.1025,1
36.7973,29.0696,0
40.5201,34.426,0
40.4886,34.2583,0
40.4593,34.209,0
39.012,43.5606,0
37.1223,44.2743,0
40.5343,26.697,2
36.1996,28.0495,2
37.8791,26.9251,1
38.7628,43.5055,0
38.7548,43.4268,0
38.7528,43.5065,0
40.1565,42.1175,0
38.7646,43.4251,0
37.94,27.5595,0
39.2951,33.3036,0
38.7675,43.3996,0
38.9438,43.5153,0
38.7601,43.4833,0
35.332,38.936,2
37.8018,29.7653,0
38.7601,43.4293,0
38.7643,43.4183,0
38.757,43.408,0
40.746,31.4755,0
38.7458,43.5118,0
38.7566,43.4131,0
38.7486,43.478,0
41.6666,43.1828,0
37.6743,27.1586,0
39.2878,33.3206,0
36.1138,35.5238,2
39.2948,33.314,0
40.2741,33.9311,0
37.1435,28.2856,0
37.8956,27.0975,2
37.6333,27.1448,0
37.8273,26.9846,2
37.8861,27.5693,0
37.3693,38.7696,0
37.4028,36.2506,0
39.7768,43.4986,0
37.6428,26.0236,1
37.7436,26.0685,1
37.652,26.0095,1
38.608,29.1876,0
41.4191,28.193,0
40.2146,29.0623,0
39.8441,32.0635,0
39.6271,29.5853,0
39.061,41.7546,0
40.113,43.5596,0
39.081,27.3823,0
39.1221,34.2483,0
38.2671,38.8388,0
37.2858,31.8385,0
37.199,37.4405,0
37.2673,28.6883,0
39.3876,44.1278,0
39.3355,40.773,0
36.8501,38.9285,0
39.6805,30.0696,0
36.5575,30.6315,2
37.8621,26.982,2
37.8886,27.0625,2
38.9513,43.5111,0
38.0505,30.3836,0
36.5306,27.8465,1
40.1405,31.7888,0
38.1258,42.6001,0
38.2443,30.0048,0
38.25,30.0233,0
40.1595,31.7738,0
40.1381,28.8665,0
38.9043,43.5193,0
38.2453,30.0176,0
39.288,33.3441,0
39.1366,29.4588,0
39.1178,39.0151,0
37.8531,29.2768,0
40.4713,35.4281,0
36.0841,29.6051,2
40.4646,34.2536,0
37.845,26.9928,2
37.8331,26.886,1
38.9373,26.051,1
35.881,29.041,2
36.5238,38.616,0
38.5916,34.6998,0
40.1503,31.762,0
40.5976,35.3401,0
42.9551,27.6396,0
39.171,27.371,0
36.17,30.586,2
39.6216,41.2525,0
37.0805,37.0845,0
41.3088,43.8985,0
39.4048,37.0153,0
40.601,35.352,0
37.9051,27.1826,2
37.05,28.39,0
38.2015,38.6291,0
36.5315,27.1796,1
38.5861,31.744,0
38.2155,38.6116,0
36.1265,27.2896,1
