EventID,Enlem,Boylam,Derinlik,Rms,Büyüklük,İl,Gün,Ay,Yıl,Saat,Dakika,Saniye
518096,39.8061,41.8183,7.0,0.28,1.6,51,24,12,2021,20,36,32
518095,39.1028,29.4008,7.3,0.19,1.0,89,24,12,2021,20,32,42
518094,37.93,28.816,7.0,0.39,0.9,41,24,12,2021,20,15,26
518093,37.6951,29.3766,7.02,0.25,1.0,41,24,12,2021,19,40,49
518092,37.7938,26.8085,7.0,0.32,1.0,115,24,12,2021,18,53,30
518090,39.7885,41.8421,6.98,0.52,2.1,51,24,12,2021,18,00,32
518091,36.696,27.3441,5.54,0.85,1.2,100,24,12,2021,17,55,12
518088,37.2361,28.49,7.0,0.69,1.2,100,24,12,2021,17,24,38
518089,38.4915,29.1368,7.0,0.59,1.1,134,24,12,2021,17,23,04
518087,37.6183,26.0556,7.13,0.4,2.1,115,24,12,2021,15,40,15
518086,39.8441,41.7038,7.0,0.25,1.7,51,24,12,2021,15,27,06
518085,39.8435,33.3076,7.0,0.8,0.9,83,24,12,2021,15,24,14
518084,35.0788,27.4801,9.63,0.78,2.4,139,24,12,2021,15,11,03
518083,36.7608,34.5753,14.12,0.38,2.2,98,24,12,2021,14,01,27
518082,39.722,27.574,1.4,0.2,1.2,26,24,12,2021,13,47,58
518080,37.0618,28.4391,7.0,0.38,1.0,100,24,12,2021,13,44,14
518081,38.793,43.2825,7.25,0.31,1.5,135,24,12,2021,13,34,52
518078,37.2783,31.8845,7.17,0.39,1.8,87,24,12,2021,12,27,11
518079,39.3,40.4628,6.98,0.54,2.2,31,24,12,2021,12,20,19
518077,38.2393,26.6481,7.0,0.5,0.8,70,24,12,2021,12,15,14
518076,38.8748,43.5393,16.52,0.28,1.6,135,24,12,2021,11,31,53
518075,38.2638,42.4705,6.97,0.44,1.6,32,24,12,2021,11,18,17
518074,36.8311,29.0268,12.4,0.19,1.4,100,24,12,2021,10,54,45
518073,37.6993,29.3616,6.98,0.62,1.5,41,24,12,2021,10,30,50
518072,39.086,27.5728,6.98,0.42,1.4,96,24,12,2021,10,15,13
518071,40.6061,35.3561,6.99,0.47,1.6,144,24,12,2021,10,10,06
518070,36.4718,27.1025,7.0,0.31,1.7,100,24,12,2021,09,42,57
518068,36.7973,29.0696,6.6,0.33,1.6,100,24,12,2021,09,11,18
518069,40.5201,34.426,7.0,0.46,1.1,144,24,12,2021,09,03,00
518067,40.4886,34.2583,7.0,0.39,1.1,144,24,12,2021,08,27,54
518066,40.4593,34.209,7.0,0.63,1.6,144,24,12,2021,08,07,13
518065,39.012,43.5606,4.12,0.27,1.7,135,24,12,2021,08,05,25
518064,37.1223,44.2743,7.0,0.13,2.2,60,24,12,2021,07,54,19
518063,40.5343,26.697,7.83,0.27,1.8,142,24,12,2021,07,20,31
518062,36.1996,28.0495,6.97,0.54,1.5,45,24,12,2021,06,52,41
518061,37.8791,26.9251,7.0,0.18,1.3,70,24,12,2021,06,05,20
518060,38.7628,43.5055,7.0,0.33,1.9,135,24,12,2021,05,59,38
518059,38.7548,43.4268,7.0,0.57,1.1,135,24,12,2021,05,31,11
518056,38.7528,43.5065,7.03,0.66,3.9,135,24,12,2021,05,26,40
518058,40.1565,42.1175,7.0,0.12,1.3,51,24,12,2021,05,07,53
518057,38.7646,43.4251,7.0,0.34,1.5,135,24,12,2021,03,37,03
518054,37.94,27.5595,7.0,0.49,1.8,22,24,12,2021,02,39,57
518055,39.2951,33.3036,7.0,0.14,1.1,14,24,12,2021,02,31,16
518053,38.7675,43.3996,7.0,0.44,1.9,135,24,12,2021,02,30,27
518050,38.9438,43.5153,8.05,0.39,1.4,135,24,12,2021,02,25,06
518049,38.7601,43.4833,7.0,0.58,2.0,135,24,12,2021,02,22,46
518052,35.332,38.936,4.0,0.5,3.2,16,24,12,2021,02,21,21
518051,37.8018,29.7653,7.0,0.63,1.4,41,24,12,2021,02,16,04
518048,38.7601,43.4293,7.0,0.55,2.7,135,24,12,2021,02,14,46
518046,38.7643,43.4183,6.97,0.79,1.7,135,24,12,2021,02,10,43
518045,38.757,43.408,7.0,0.58,1.9,135,24,12,2021,02,04,26
518047,40.746,31.4755,7.0,0.13,1.0,33,24,12,2021,02,02,56
518044,38.7458,43.5118,6.86,0.65,2.8,135,24,12,2021,02,00,23
518043,38.7566,43.4131,7.0,0.44,1.8,135,24,12,2021,01,47,19
518042,38.7486,43.478,6.95,0.55,3.8,135,24,12,2021,01,44,58
518041,41.6666,43.1828,7.03,0.33,1.6,8,24,12,2021,01,07,42
518040,37.6743,27.1586,10.57,0.13,1.8,22,24,12,2021,01,01,58
518039,39.2878,33.3206,7.0,0.46,1.2,14,23,12,2021,23,55,38
518037,36.1138,35.5238,22.07,0.77,2.7,63,23,12,2021,23,51,53
518038,39.2948,33.314,7.0,0.38,1.2,14,23,12,2021,23,47,09
518036,40.2741,33.9311,7.01,0.36,2.0,83,23,12,2021,22,56,36
518035,37.1435,28.2856,7.02,0.62,1.5,100,23,12,2021,22,43,52
518034,37.8956,27.0975,7.0,0.37,1.6,70,23,12,2021,22,08,37
518033,37.6333,27.1448,8.38,0.3,1.8,22,23,12,2021,20,26,45
518032,37.8273,26.9846,7.0,0.21,2.4,22,23,12,2021,19,39,29
518031,37.8861,27.5693,7.0,0.38,1.9,22,23,12,2021,17,54,45
518030,37.3693,38.7696,7.01,0.38,1.2,117,23,12,2021,16,56,22
518028,37.4028,36.2506,7.15,0.74,2.0,108,23,12,2021,16,43,08
518029,39.7768,43.4986,7.0,0.45,1.6,6,23,12,2021,16,33,39
518027,37.6428,26.0236,7.24,0.35,2.1,70,23,12,2021,16,04,35
518026,37.7436,26.0685,5.6,0.76,2.0,70,23,12,2021,15,54,13
518025,37.652,26.0095,6.96,0.61,2.6,70,23,12,2021,15,51,05
518024,38.608,29.1876,7.0,0.64,1.1,134,23,12,2021,15,34,22
518023,41.4191,28.193,7.0,0.54,1.1,68,23,12,2021,15,15,29
518021,40.2146,29.0623,10.18,0.34,2.7,36,23,12,2021,14,15,26
518022,39.8441,32.0635,6.34,0.82,2.0,14,23,12,2021,14,00,42
518020,39.6271,29.5853,7.0,0.19,1.0,89,23,12,2021,13,52,41
518019,39.061,41.7546,7.0,0.78,1.4,101,23,12,2021,13,33,54
518018,40.113,43.5596,7.0,0.38,1.4,66,23,12,2021,13,31,16
518017,39.081,27.3823,6.45,0.61,1.4,70,23,12,2021,13,19,15
518016,39.1221,34.2483,7.0,0.24,1.0,85,23,12,2021,13,14,30
518015,38.2671,38.8388,7.29,0.27,1.3,94,23,12,2021,13,06,53
518014,37.2858,31.8385,6.99,0.86,2.0,15,23,12,2021,12,35,26
518013,37.199,37.4405,7.02,0.78,2.3,54,23,12,2021,12,32,58
518012,37.2673,28.6883,7.0,0.44,1.5,100,23,12,2021,11,49,38
518011,39.3876,44.1278,7.0,0.29,1.4,37,23,12,2021,11,38,56
518010,39.3355,40.773,7.01,0.55,2.2,31,23,12,2021,11,02,40
518009,36.8501,38.9285,5.27,0.38,2.2,117,23,12,2021,10,37,35
518008,39.6805,30.0696,7.0,0.6,0.9,52,23,12,2021,10,19,29
518007,36.5575,30.6315,24.09,0.74,2.3,15,23,12,2021,09,40,57
