@relation afad_deprem_listesi_-_Kopya_-_TR_2

@attribute Enlem numeric
@attribute Boylam numeric
@attribute Derinlik numeric
@attribute Büyüklük numeric

@data
39.8061,41.8183,7,1.6
39.1028,29.4008,7.3,1
37.93,28.816,7,0.9
37.6951,29.3766,7.02,1
39.7885,41.8421,6.98,2.1
37.2361,28.49,7,1.2
38.4915,29.1368,7,1.1
39.8441,41.7038,7,1.7
39.8435,33.3076,7,0.9
36.7608,34.5753,14.12,2.2
39.722,27.574,1.4,1.2
37.0618,28.4391,7,1
38.793,43.2825,7.25,1.5
37.2783,31.8845,7.17,1.8
39.3,40.4628,6.98,2.2
38.2393,26.6481,7,0.8
38.8748,43.5393,16.52,1.6
38.2638,42.4705,6.97,1.6
36.8311,29.0268,12.4,1.4
37.6993,29.3616,6.98,1.5
39.086,27.5728,6.98,1.4
40.6061,35.3561,6.99,1.6
36.7973,29.0696,6.6,1.6
40.5201,34.426,7,1.1
40.4886,34.2583,7,1.1
40.4593,34.209,7,1.6
39.012,43.5606,4.12,1.7
37.1223,44.2743,7,2.2
40.5343,26.697,7.83,1.8
38.7628,43.5055,7,1.9
38.7548,43.4268,7,1.1
38.7528,43.5065,7.03,3.9
40.1565,42.1175,7,1.3
38.7646,43.4251,7,1.5
37.94,27.5595,7,1.8
39.2951,33.3036,7,1.1
38.7675,43.3996,7,1.9
38.9438,43.5153,8.05,1.4
38.7601,43.4833,7,2
37.8018,29.7653,7,1.4
38.7601,43.4293,7,2.7
38.7643,43.4183,6.97,1.7
38.757,43.408,7,1.9
40.746,31.4755,7,1
38.7458,43.5118,6.86,2.8
38.7566,43.4131,7,1.8
38.7486,43.478,6.95,3.8
37.6743,27.1586,10.57,1.8
39.2878,33.3206,7,1.2
39.2948,33.314,7,1.2
40.2741,33.9311,7.01,2
37.1435,28.2856,7.02,1.5
37.8956,27.0975,7,1.6
37.6333,27.1448,8.38,1.8
37.8273,26.9846,7,2.4
37.8861,27.5693,7,1.9
37.3693,38.7696,7.01,1.2
37.4028,36.2506,7.15,2
39.7768,43.4986,7,1.6
38.608,29.1876,7,1.1
41.4191,28.193,7,1.1
40.2146,29.0623,10.18,2.7
39.8441,32.0635,6.34,2
39.6271,29.5853,7,1
39.061,41.7546,7,1.4
40.113,43.5596,7,1.4
39.081,27.3823,6.45,1.4
39.1221,34.2483,7,1
38.2671,38.8388,7.29,1.3
37.2858,31.8385,6.99,2
37.199,37.4405,7.02,2.3
37.2673,28.6883,7,1.5
39.3355,40.773,7.01,2.2
36.8501,38.9285,5.27,2.2
39.6805,30.0696,7,0.9
36.5575,30.6315,24.09,2.3
37.8621,26.982,7.82,2.3
37.8886,27.0625,7.04,1.8
38.9513,43.5111,4.44,2.1
38.0505,30.3836,6.94,1.9
40.1405,31.7888,6.86,1.5
38.1258,42.6001,7,1.7
38.2443,30.0048,6.16,1.8
38.25,30.0233,4.79,2.3
40.1595,31.7738,7.34,1.5
40.1381,28.8665,7.04,1
38.9043,43.5193,7.25,1.9
38.2453,30.0176,6.97,2.2
39.288,33.3441,6.95,2.2
39.1366,29.4588,8.37,2.4
39.1178,39.0151,7,1.3
37.8531,29.2768,7.01,1.7
40.4713,35.4281,6.28,0.8
40.4646,34.2536,7.02,2.3
37.845,26.9928,7,1.7
38.5916,34.6998,6.5,1.5
40.1503,31.762,7,1.7
40.5976,35.3401,7,1.9
39.171,27.371,18.8,2.1
39.6216,41.2525,8.8,2.5
37.0805,37.0845,4.37,2.1
39.4048,37.0153,7.16,2.3
40.601,35.352,7,1.4
37.9051,27.1826,8.23,1.6
37.05,28.39,6.99,1.5
38.2015,38.6291,7.01,1.3
38.5861,31.744,6.98,1.5
38.2155,38.6116,7.23,2.2
39.8328,29.139,7,3.2
37.4643,27.4743,7,1.3
38.3818,38.9621,7.01,1.2
37.3223,29.3241,6.98,1.6
39.6991,28.4068,5.57,1.8
37.8503,27.0138,7,1.1
39.7625,26.8508,7.02,1.4
36.9331,29.3486,7,1.1
37.8216,26.9593,7,1.7
37.8286,27.131,7,1
39.0336,27.602,7,1.4
38.5898,31.686,7,1.3
38.9015,43.6015,15.5,2.7
38.4763,34.1268,7.13,1.4
37.9033,27.0106,6.51,1.7
40.1856,27.2386,7,1.5
37.9018,27.1953,7,1.2
40.4036,26.2051,7,1.1
38.2925,26.6605,7,1
38.2648,38.0835,7,1.5
39.613,41.2405,7,1.9
37.5678,29.4828,2.45,1.8
37.0111,29.7251,7,1.1
40.6081,35.3578,6.99,1.1
40.6086,35.3561,7,1
40.604,35.3436,6.99,3.3
40.5016,35.4381,6.86,1.5
36.9906,29.671,7,1.6
37.5678,36.3343,13.03,1.6
40.6096,35.3531,6.98,2
40.6126,35.3458,7.2,1.8
40.607,35.3565,7,2.5
38.1396,38.7655,10.55,2.7
36.2243,36.0085,7.05,2.1
39.7855,43.4093,7,1.3
37.0473,28.3783,7,1.5
39.7838,43.3948,7,1.8
37.4983,37.06,8.33,1.6
40.5818,29.0931,6.92,1.4
39.8211,43.4123,7,1.7
36.8893,27.6463,7,2.1
41.015,39.1281,34.01,1.9
40.4613,34.2216,6.99,3.6
39.8871,40.0548,6.97,1.5
39.9088,40.0466,7,1.6
40.4868,34.2503,7.08,3.5
38.9748,32.93,6.72,1.5
38.4943,29.1643,7,0.9
38.4811,29.144,7,1.1
37.4676,32.5071,6.97,1.5
40.909,31.6843,7,1.6
36.5761,28.0415,6.9,2.7
39.456,33.3933,6.93,0.8
37.532,30.2521,6.91,1.5
37.8543,29.2441,8.6,0.9
37.853,29.243,9.3,1.4
40.6515,42.5351,5.75,1.3
39.9365,27.2398,12.68,1.2
37.5408,32.6605,7.01,1.2
37.5313,32.6126,7,1.4
37.0986,38.7531,6.52,2
38.267,38.7706,7.08,2.1
37.8918,27.636,7,1.4
37.8801,27.6073,7.01,1.6
37.0615,28.3951,7.01,2.4
37.8636,32.0385,7,1.5
38.0551,38.3558,8.63,1.6
40.1673,31.6978,7.05,1.7
40.8288,39.2316,7.96,2.1
37.8918,35.1591,7.01,2.6
38.4905,26.688,7.01,1.9
37.4075,29.1611,7,1.4
38.5051,26.6511,9.81,1.8
38.2231,38.9503,8.17,2.1
36.9613,27.9688,7,1.6
37.0631,28.3655,7,1.6
37.0523,28.38,7,1.3
37.1333,28.6745,6.95,1.4
37.9231,27.0953,7,1.7
40.7933,31.9258,10.18,2.4
36.3356,29.4996,7,1.2
36.29,29.4731,7.7,1.5
36.298,29.455,6.86,1.9
40.468,29.276,7.32,1.7
37.3623,28.0896,7,1.9
36.811,30.3816,21.32,2.5
37.5051,36.1813,15.93,2.4
37.0481,28.3643,7,1.6
38.2708,38.8435,4.91,1.8
36.946,27.7093,7.06,1.4
37.8331,35.1626,7,1.4
37.8668,32.0921,7.04,1.5
39.8153,41.8036,6.95,1.9
37.5661,30.4965,6.69,1.4
37.058,28.3606,7,1
39.8103,41.8063,7,1.6
37.3513,31.9035,7.03,1.9
38.645,26.6378,7,3.1
37.9083,27.145,7,3.3
37.053,28.3775,6.91,1.8
36.707,33.7845,18.9,2.3
39.01,27.8968,7.01,3.1
38.9966,27.8981,10.42,3.4
40.6161,36.6878,6.83,2
38.2713,38.769,6.95,2
37.1321,27.6016,6.96,1.4
37.0528,28.3873,6.87,1.7
37.0518,28.375,4.52,3
38.2778,38.729,7,1.5
38.2476,38.7515,7,1.3
37.8885,27.0758,7,1.4
39.3156,27.702,6.98,1.8
38.8671,31.0366,10.98,1.7
38.5231,29.1685,7,0.9
38.5056,29.1656,7,0.7
39.842,41.7753,7,1.3
38.2506,38.821,7,1
36.1973,35.9796,7.02,2.1
37.1673,37.4688,7.09,1.9
39.6475,30.0885,7,1
39.9935,41.7228,7,1.1
39.7091,30.2393,7,1.1
39.8808,41.7628,7,1.5
38.0811,27.2393,7,1.2
39.759,27.5623,7,0.9
40.4075,39.3175,7,1.3
37.0738,28.3503,7,1
41.942,33.6528,7.12,1.6
40.4748,34.2145,7.06,4.1
40.3981,26.1905,7,1.2
39.6271,38.6255,6.99,1.7
37.8403,27.0281,6.75,2.1
40.7965,31.3413,7,1.2
40.821,34.7881,7,1.6
40.8191,34.7555,7.01,1.8
37.8928,27.1048,6.95,1.9
38.3403,39.8281,3.16,1.5
38.9186,42.0281,7,1.4
39.0941,37.4208,7,1.2
37.4256,38.7771,6.99,1.3
39.3433,40.9013,7,1.2
37.0403,28.158,6.99,1.3
37.9605,28.9893,7,1.4
38.4143,26.7651,7,1.2
38.0165,27.0093,11.03,1.6
37.0561,35.7406,33.33,1.9
38.863,26.9528,7,1.5
38.0265,31.3903,6.96,1.9
37.8205,27.173,7.39,1.7
38.083,38.3493,4.17,1.6
39.0086,30.1531,6.98,2
37.0233,28.262,7.03,1.6
38.8371,26.9371,7,1.4
40.0295,40.0198,7.01,2.6
39.341,40.75,11.48,3.1
37.3865,27.5431,6.99,1.4
39.3235,41.2041,7,1.9
38.3761,39.7688,12.54,1.6
40.0205,28.879,24.11,1.7
37.925,37.9906,7,1.7
37.9311,37.993,7,1.3
39.3673,40.769,7.03,2.1
38.0176,30.2298,6.98,1.6
38.616,31.052,9.69,2
37.351,31.8415,6.55,1.6
39.0108,28.0425,7,2
39.0818,27.5093,7,1.4
40.0665,35.2428,6.97,1
37.5631,29.2218,7,1.4
39.5596,41.1185,7,1.5
37.7863,29.6853,7,1.2
38.9256,31.3951,7,1.7
36.734,33.8178,6.96,2.2
37.298,31.2948,7,2.3
38.903,43.5131,7.04,1.7
36.9736,28.528,7,1.3
36.9748,28.5371,7.01,2.5
39.0263,27.5345,6.07,1.5
37.8735,38.277,5.39,1.6
38.9586,42.031,6.98,2.5
38.9781,42.0243,7.01,3.4
37.921,26.9648,7,1.6
36.938,27.653,7,2.5
39.572,41.2998,7,2.3
40.421,35.2461,6.78,1.2
38.8363,41.8268,7.05,1.7
38.7445,41.8461,6.97,1.7
38.7676,43.2891,7,1.4
37.124,28.51,7,1.5
39.0685,28.5895,10.24,1.5
37.4475,32.707,7.2,1.7
38.602,30.355,20.4,1.7
36.985,28.511,16.8,1.8
39.152,37.2418,6.94,1.9
38.3046,38.3053,7.02,1.2
38.468,39.3423,7,1.3
38.7358,43.485,7.01,1.7
40.225,31.8651,6.84,1.8
38.5951,39.6206,6.96,1.9
37.6413,27.4398,7,1.4
37.7673,27.4095,14.16,1.5
38.7085,43.239,7.01,2.4
39.0111,33.4716,7.06,1.4
37.9203,29.2373,5.18,1.1
38.4758,29.1501,7,0.9
38.4815,29.174,7,0.9
40.8076,31.6035,13.8,1.2
39.0855,42.1121,7,1.4
40.842,31.6363,6.94,1
38.6151,39.6931,7.13,3
38.8021,35.1968,3.45,1.1
38.3296,39.0563,7,1.4
37.7793,29.7383,7,1.3
39.8695,31.9026,7.08,1.8
37.8871,27.0135,7,1.5
38.8685,43.6221,7.05,1.4
39.756,30.1646,7,1
38.459,39.2971,7,1.5
38.042,32.8455,7,1.2
40.8355,41.48,7,1.1
37.2471,32.1545,12.62,1.8
39.7945,29.0911,7,1.1
38.7513,43.7648,7.18,1.3
37.1156,37.1651,4.22,2
37.6583,36.4281,7,1.4
40.984,32.6925,7,1
38.9218,43.4906,6.64,1.2
39.5066,33.1068,7.13,1.5
40.6603,42.7796,7,1.4
38.4803,39.2878,7,1.2
39.0188,41.563,6.99,1.9
40.1863,31.7235,6.72,1.7
38.8828,43.5055,11,1.9
38.627,43.2131,7,1.3
38.2835,28.2706,7,1.4
38.305,38.7946,7.01,1.4
37.3943,29.0526,17.84,2.5
38.5748,39.641,6.98,3.6
38.4108,26.8303,7,1.8
37.0033,29.097,7,1.3
38.5843,39.6148,7,3.3
38.7498,43.2848,7.01,1.2
38.4931,34.1275,7.16,1.5
38.4108,29.1096,7,1.2
39.113,27.8748,7,1.4
37.8246,29.5708,7.03,1.3
39.9008,41.8668,7.15,1.3
39.5396,26.169,7.14,1.4
38.1181,38.0815,7,1.2
38.9016,43.5906,12.8,1.3
